"filename", "language", "HTML", "CSS", "JavaScript", "Python", "comment", "blank", "total"
"c:\Users\p\Documents\GitHub\SANAMED\app.py", "Python", 0, 0, 0, 159, 18, 40, 217
"c:\Users\p\Documents\GitHub\SANAMED\scripts.js", "JavaScript", 0, 0, 13, 0, 3, 4, 20
"c:\Users\p\Documents\GitHub\SANAMED\static\laberinto.js", "JavaScript", 0, 0, 532, 0, 9, 44, 585
"c:\Users\p\Documents\GitHub\SANAMED\static\puzzle.js", "JavaScript", 0, 0, 90, 0, 2, 12, 104
"c:\Users\p\Documents\GitHub\SANAMED\static\style.css", "CSS", 0, 89, 0, 0, 0, 23, 112
"c:\Users\p\Documents\GitHub\SANAMED\static\style1.css", "CSS", 0, 71, 0, 0, 0, 17, 88
"c:\Users\p\Documents\GitHub\SANAMED\static\style2.css", "CSS", 0, 486, 0, 0, 3, 88, 577
"c:\Users\p\Documents\GitHub\SANAMED\static\style3.css", "CSS", 0, 14, 0, 0, 1, 3, 18
"c:\Users\p\Documents\GitHub\SANAMED\static\style4.css", "CSS", 0, 63, 0, 0, 0, 29, 92
"c:\Users\p\Documents\GitHub\SANAMED\static\style5.css", "CSS", 0, 72, 0, 0, 1, 6, 79
"c:\Users\p\Documents\GitHub\SANAMED\static\style6.css", "CSS", 0, 126, 0, 0, 1, 5, 132
"c:\Users\p\Documents\GitHub\SANAMED\static\style7.css", "CSS", 0, 71, 0, 0, 4, 27, 102
"c:\Users\p\Documents\GitHub\SANAMED\templates\agendar_cita.html", "HTML", 58, 0, 0, 0, 0, 12, 70
"c:\Users\p\Documents\GitHub\SANAMED\templates\games.html", "HTML", 34, 0, 0, 0, 2, 10, 46
"c:\Users\p\Documents\GitHub\SANAMED\templates\index.html", "HTML", 64, 0, 0, 0, 1, 8, 73
"c:\Users\p\Documents\GitHub\SANAMED\templates\laberinto.html", "HTML", 44, 0, 0, 0, 0, 10, 54
"c:\Users\p\Documents\GitHub\SANAMED\templates\puzzle.html", "HTML", 17, 0, 0, 0, 1, 2, 20
"c:\Users\p\Documents\GitHub\SANAMED\templates\register.html", "HTML", 85, 0, 0, 0, 0, 3, 88
"c:\Users\p\Documents\GitHub\SANAMED\templates\rompecabezas.html", "HTML", 29, 0, 0, 0, 0, 3, 32
"c:\Users\p\Documents\GitHub\SANAMED\templates\user_home.html", "HTML", 169, 0, 0, 0, 0, 2, 171
"Total", "-", 500, 992, 635, 159, 46, 348, 2680